timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/motor_status_x,/motor_status_y,/motor_status_z,/video_frames_z
1767723872.497727,310.596,268.501,207.817,,,,,,,
1767723872.5114775,,,,0.0,-0.0,0.0,,,,
1767723872.5188017,,,,,,,,,,91
1767723872.5355663,,,,,,,0.0,66.0,0.0,
1767723872.547077,310.596,268.501,207.956,,,,,,,
1767723872.5625257,,,,0.0,-0.0,0.0,,,,
1767723872.5678957,,,,,,,,,,92
1767723872.585614,,,,,,,0.0,69.0,0.0,
1767723872.5964603,310.596,268.501,208.1405,,,,,,,
1767723872.611696,,,,0.0,-0.0,0.0,,,,
1767723872.621747,,,,,,,,,,93
1767723872.6353204,,,,,,,0.0,69.0,0.0,
1767723872.6470764,310.596,268.501,208.3645,,,,,,,
1767723872.661652,,,,0.0,-0.0,0.0,,,,
1767723872.6699555,,,,,,,,,,94
1767723872.6856973,,,,,,,0.0,72.0,0.0,
1767723872.696762,310.596,268.501,204.9065,,,,,,,
1767723872.711591,,,,0.0,-0.0,0.0,,,,
1767723872.7216837,,,,,,,,,,95
1767723872.735337,,,,,,,0.0,72.0,0.0,
1767723872.748492,310.596,268.501,205.229,,,,,,,
1767723872.7617447,,,,0.0,-0.0,0.0,,,,
1767723872.769763,,,,,,,,,,96
1767723872.7858925,,,,,,,0.0,69.0,0.0,
1767723872.797129,310.596,268.501,205.6865,,,,,,,
1767723872.8114913,,,,0.0,-0.0,0.0,,,,
1767723872.8187108,,,,,,,,,,97
1767723872.8353207,,,,,,,0.0,69.0,0.0,
1767723872.846768,310.596,268.501,57.221,,,,,,,
1767723872.8614154,,,,0.0,-0.0,0.0,,,,
1767723872.8674984,,,,,,,,,,98
1767723872.8856354,,,,,,,0.0,66.0,0.0,
1767723872.8972142,310.596,268.501,57.221,,,,,,,
1767723872.9121978,,,,0.0,-0.0,0.0,,,,
1767723872.9216847,,,,,,,,,,99
1767723872.9353383,,,,,,,0.0,66.0,0.0,
1767723872.9469376,310.596,268.501,206.2175,,,,,,,
1767723872.9618015,,,,0.0,-0.0,0.0,,,,
1767723872.970471,,,,,,,,,,100
1767723872.9858031,,,,,,,0.0,63.0,0.0,
1767723872.9961808,310.596,268.501,206.331,,,,,,,
1767723873.0117886,,,,0.0,-0.0,0.0,,,,
1767723873.0197196,,,,,,,,,,101
1767723873.0360494,,,,,,,0.0,63.0,0.0,
1767723873.0481791,310.596,268.501,207.968,,,,,,,
1767723873.0619981,,,,0.0,-0.0,0.0,,,,
1767723873.0666568,,,,,,,,,,102
1767723873.0871027,,,,,,,0.0,60.0,0.0,
1767723873.0972052,310.596,268.501,207.968,,,,,,,
1767723873.111426,,,,0.0,-0.0,0.0,,,,
1767723873.1177864,,,,,,,,,,103
1767723873.135833,,,,,,,0.0,60.0,0.0,
1767723873.1482747,310.596,268.501,109.069,,,,,,,
1767723873.161616,,,,0.0,-0.0,0.0,,,,
1767723873.1663437,,,,,,,,,,104
1767723873.1878667,,,,,,,0.0,57.0,0.0,
1767723873.1970203,310.596,268.501,206.856,,,,,,,
1767723873.2115982,,,,0.0,-0.0,0.0,,,,
1767723873.2199872,,,,,,,,,,105
1767723873.236018,,,,,,,0.0,57.0,0.0,
1767723873.2471924,160.46,268.501,206.856,,,,,,,
1767723873.2645586,,,,0.0,-0.0,0.0,,,,
1767723873.2670915,,,,,,,,,,106
1767723873.2870722,,,,,,,0.0,54.0,0.0,
1767723873.2968893,160.46,268.501,206.856,,,,,,,
1767723873.3116965,,,,0.0,-0.0,0.0,,,,
1767723873.3171573,,,,,,,,,,107
1767723873.3357646,,,,,,,0.0,54.0,0.0,
1767723873.3467093,160.46,194.0275,206.856,,,,,,,
1767723873.3627303,,,,0.0,-0.0,0.0,,,,
